home_team,away_team,score,year
China , Norway,4–0,1991
Denmark , New Zealand,3–0,1991
Norway , New Zealand,4–0,1991
China , Denmark,2–2,1991
China , New Zealand,4–1,1991
Norway , Denmark,2–1,1991
Japan , Brazil,0–1,1991
Sweden , United States,2–3,1991
Japan , Sweden,0–8,1991
Brazil , United States,0–5,1991
Japan , United States,0–3,1991
Brazil , Sweden,0–2,1991
Germany , Nigeria,4–0,1991
Chinese Taipei , Italy,0–5,1991
Italy , Nigeria,1–0,1991
Chinese Taipei , Germany,0–3,1991
Chinese Taipei , Nigeria,2–0,1991
Italy , Germany,0–2,1991
Denmark , Germany,1–2 (a.e.t.),1991
China , Sweden,0–1,1991
Norway , Italy,3–2 (a.e.t.),1991
United States , Chinese Taipei,7–0,1991
Sweden , Norway,1–4,1991
Germany , United States,2–5,1991
Sweden , Germany,4–0,1991
Norway , United States,1–2,1991
Germany , Japan,1–0,1995
Sweden , Brazil,0–1,1995
Sweden , Germany,3–2,1995
Brazil , Japan,1–2,1995
Sweden , Japan,2–0,1995
Brazil , Germany,1–6,1995
Norway , Nigeria,8–0,1995
England , Canada,3–2,1995
Norway , England,2–0,1995
Nigeria , Canada,3–3,1995
Norway , Canada,7–0,1995
Nigeria , England,2–3,1995
United States , China,3–3,1995
Denmark , Australia,5–0,1995
United States , Denmark,2–0,1995
China , Australia,4–2,1995
United States , Australia,4–1,1995
China , Denmark,3–1,1995
Japan , United States,0–4,1995
Norway , Denmark,3–1,1995
Germany , England,3–0,1995
Sweden , China,1–1 (a.e.t.),1995
United States , Norway,0–1,1995
Germany , China,1–0,1995
China , United States,0–2,1995
Germany , Norway,0–2,1995
United States , Denmark,3–0,1999
North Korea , Nigeria,1–2,1999
United States , Nigeria,7–1,1999
North Korea , Denmark,3–1,1999
Nigeria , Denmark,2–0,1999
United States , North Korea,3–0,1999
Brazil , Mexico,7–1,1999
Germany , Italy,1–1,1999
Brazil , Italy,2–0,1999
Germany , Mexico,6–0,1999
Germany , Brazil,3–3,1999
Mexico , Italy,0–2,1999
Japan , Canada,1–1,1999
Norway , Russia,2–1,1999
Norway , Canada,7–1,1999
Japan , Russia,0–5,1999
Canada , Russia,1–4,1999
Norway , Japan,4–0,1999
China , Sweden,2–1,1999
Australia , Ghana,1–1,1999
Australia , Sweden,1–3,1999
China , Ghana,7–0,1999
China , Australia,3–1,1999
Ghana , Sweden,0–2,1999
China , Russia,2–0,1999
Norway , Sweden,3–1,1999
United States , Germany,3–2,1999
Brazil , Nigeria,4–3 (a.e.t./g.g.),1999
United States , Brazil,2–0,1999
Norway , China,0–5,1999
Brazil , Norway,0–0,1999
United States , China,0–0 (a.e.t./g.g.),1999
Nigeria , North Korea,0–3,2003
United States , Sweden,3–1,2003
Sweden , North Korea,1–0,2003
United States , Nigeria,5–0,2003
Sweden , Nigeria,3–0,2003
North Korea , United States,0–3,2003
Norway , France,2–0,2003
Brazil , South Korea,3–0,2003
Norway , Brazil,1–4,2003
France , South Korea,1–0,2003
South Korea , Norway,1–7,2003
France , Brazil,1–1,2003
Germany , Canada,4–1,2003
Japan , Argentina,6–0,2003
Germany , Japan,3–0,2003
Canada , Argentina,3–0,2003
Canada , Japan,3–1,2003
Argentina , Germany,1–6,2003
Australia , Russia,1–2,2003
China , Ghana,1–0,2003
Ghana , Russia,0–3,2003
China , Australia,1–1,2003
Ghana , Australia,2–1,2003
